ID,Series,Tier,Occupation,Type,Level,Scenario,OptionA,OptionB,OptionC,CorrectAnswer,Hint,Explanation,PsychPrinciple
1,Banking & Finance,Novice,General Public,Phishing,1,"You receive an email from 'gtbank-security@gtb-alerts.net' claiming your GTBank account has been debited ₦85,000 without authorisation. A button says 'DISPUTE THIS TRANSACTION NOW' and links to 'gtbank-secure-dispute.com'.",Click the dispute button immediately to recover your money,Forward the email to GTBank's official fraud line at gtbankfraud@gtbank.com,Open your GTBank app directly and check your transaction history yourself,Open your GTBank app directly and check your transaction history yourself,"GTBank's real domain is gtbank.com — the sender domain 'gtb-alerts.net' is a fraudulent lookalike. Always verify unexpected debit alerts directly in your banking app, never through email links.",This phishing email weaponises Fear of financial loss. The fraudulent domain 'gtb-alerts.net' mimics GTBank branding. Clicking the link leads to a credential-harvesting page. Forwarding to 'gtbankfraud@gtbank.com' is also risky — verify the email address is exactly correct. Your banking app is always the safest first check.,Fear + Authority Impersonation
2,Banking & Finance,Defender,General Public,Phishing,2,"An email arrives with GTBank letterhead: 'Your BVN verification has expired. Under CBN Circular BPS/DIR/GEN/LAB/07/025, all customers must re-verify their BVN by clicking below within 48 hours or face account restriction.' The sender is 'cbn-bvn@nigeria-banking-alert.com'.",Re-verify your BVN via the link — CBN regulations are mandatory,Call GTBank customer care on 0700-482-6726 (from the back of your card) to confirm this requirement,Reply to the email asking for the specific CBN circular reference,Call GTBank customer care on 0700-482-6726 (from the back of your card) to confirm this requirement,The CBN never communicates directly with individual customers via email. Any regulatory compliance for BVN is communicated by your bank through official channels — not from a domain like 'nigeria-banking-alert.com'.,This phishing attack cites a real-sounding regulatory reference (fake) to create False Legitimacy and Official Authority pressure. The 48-hour deadline adds Urgency. Replying to the email exposes you to further social engineering. The CBN-mandated BVN process is managed by your bank — not via unsolicited email links.,False Legitimacy + Authority + Urgency
3,Banking & Finance,Sentinel,General Public,Phishing,3,"You receive a professionally designed email from 'support@accessbank-onlinebanking.ng' with your first name in the greeting: 'Dear [Your Name], unusual login detected from Kano, Nigeria at 03:14AM. If this was not you, verify your identity at the link below within 15 minutes or your account will be locked for 72 hours for investigation.'",Click the link immediately — 15 minutes is very short and 72-hour lock is serious,"Open a new browser tab, type accessbankplc.com yourself, and check your account security settings",Reply to the email confirming it was not you so they stop the investigation,"Open a new browser tab, type accessbankplc.com yourself, and check your account security settings",The domain 'accessbank-onlinebanking.ng' is NOT Access Bank's real domain (accessbankplc.com). The personalised first name came from a prior data breach — attackers use it to add False Legitimacy. The 15-minute timer is an extreme Urgency tactic designed to bypass rational thinking.,"This is a spear-phishing attack using personalisation from breached data to create False Familiarity. The ultra-short 15-minute window is the most extreme Urgency tactic, designed to make you act before you think. Replying confirms your email address as active. Always type your bank's URL directly — never follow email links to banking pages.",Urgency + False Familiarity + Fear
4,Banking & Finance,Novice,Student,Phishing,1,"You receive an email: 'Dear Student, your university bursary payment of ₦45,000 has been processed. To receive your funds, log in to verify your UBA account details at: uba-student-bursary.com within 24 hours.'",Click the link and enter your UBA details to collect your bursary,Check with your bursary office in person or via your official student portal,Forward the link to your coursemates who may also be eligible,Check with your bursary office in person or via your official student portal,"UBA's official domain is ubagroup.com — 'uba-student-bursary.com' is a fake domain designed to harvest your banking credentials. University bursary disbursements are announced through official student portals, not unsolicited emails.",Students are prime targets for bursary phishing because of financial stress. This combines Greed (unexpected money) and Urgency (24 hours). The lookalike domain steals credentials. Forwarding amplifies the attack to more victims.,Greed + Urgency
5,Banking & Finance,Defender,IT Professional,Phishing,2,Your company receives an invoice email from 'finance@firstbank-ng-payments.com': 'Please find attached the July reconciliation statement from First Bank. Kindly review and approve payment of ₦2.1M before COB today.' The attached PDF contains a 'View Statement' button.,Open the PDF and click 'View Statement' — reconciliation must not be delayed,Call your First Bank relationship manager directly on their known number to verify this invoice,Forward to your accounts team to handle,Call your First Bank relationship manager directly on their known number to verify this invoice,"First Bank's domain is firstbanknigeria.com — 'firstbank-ng-payments.com' is fraudulent. The PDF attachment with an embedded 'View Statement' button is a two-layer attack: the PDF itself could be malicious, and the button likely leads to a credential harvest page.",This is a Business Email Compromise (BEC) attack targeting corporate finance processes. The dual-layer attack (email + malicious PDF) bypasses single-layer security controls. COB deadline creates Urgency. The IT professional should know that PDFs with embedded external links are a documented malware delivery vector.,Authority + Urgency + BEC
6,Banking & Finance,Novice,General Public,Vishing,1,"A caller says: 'Good evening, I'm calling from Zenith Bank Fraud Squad. We have flagged a suspicious transfer of ₦150,000 from your account to an unknown account in Kano. To cancel it before it clears, I need you to confirm your account number and your last 4 ATM PIN digits right now.'","Provide the details quickly — ₦150,000 is too much to lose",Provide your account number only — not the PIN digits,Hang up and call Zenith Bank directly on 0700-050-0000 from their official website,Hang up and call Zenith Bank directly on 0700-050-0000 from their official website,Zenith Bank will NEVER ask for your PIN digits over the phone — not even the last 4. This is the single clearest red flag of any banking Vishing call. Your PIN is for you alone.,This Vishing attack uses Fear (large loss) and creates False Urgency (transfer about to clear). The 'partial PIN' request is a social engineering trap — even last 4 digits narrow down your PIN significantly. Calling back on an independently verified number always exposes the fraud.,Fear + Urgency
7,Banking & Finance,Defender,General Public,Vishing,2,"A call: 'This is the EFCC Cybercrime Division. Your bank account has been identified in a money laundering investigation. You must immediately transfer your funds to a CBN Escrow Account we provide for safekeeping during the investigation period, or your account will be frozen and assets seized.'",Transfer to the escrow account to protect your funds from seizure,Ask for a case reference number and hang up to verify with EFCC on 09-904-9900,Transfer half your funds as a compromise,Ask for a case reference number and hang up to verify with EFCC on 09-904-9900,"No legitimate agency — EFCC, CBN, NDIC, or NFIU — will ever instruct you to transfer your own money to an 'escrow account' by phone. This is the textbook definition of a recovery scam combined with impersonation fraud.","This is an Impersonation + Advance Fee Fraud attack. The 'CBN Escrow Account' is the attacker's own account. The threat of seizure creates extreme Fear. The EFCC never contacts individuals this way — all investigation notices are formal, in writing, and served through proper legal channels.",Fear + Authority Impersonation + Manufactured Crisis
8,Banking & Finance,Defender,Government Employee,Vishing,2,"A call to your government office line: 'Good morning, I'm from the PENCOM Help Desk. Our records show your RSA pin number has been used to attempt an early withdrawal that you did not authorise. To lock your account immediately, please confirm your RSA PIN and NIN for identity verification.'",Confirm the details to protect your pension savings,Tell the caller you'll call PENCOM directly on 09-462-8000 and hang up,Give only your NIN but not your RSA PIN,Tell the caller you'll call PENCOM directly on 09-462-8000 and hang up,PENCOM never calls individuals to request RSA PINs or NIN. RSA PINs are private codes that protect your retirement savings — disclosing them is equivalent to handing over your retirement account.,Pension fraud targeting government employees is rising. This attack combines Fear (retirement savings at risk) and Authority (PENCOM official). 'Partial data' is not safe — your NIN combined with name/date of birth enables full identity reconstruction. Always call the institution directly using a number from their official website.,Fear + Authority + Pension Fraud
9,Banking & Finance,Novice,General Public,Smishing,1,"SMS: 'GTBank ALERT: Your account has been debited ₦25,000. If you did not authorise this transaction, click to reverse: gtbank-reversal-ng.com/reverse?ref=8821. Act within 30 mins.'",Click the link immediately to reverse the unauthorised debit,Call GTBank on 0700-482-6726 to check your actual balance and transaction history,Reply STOP to cancel the debit,Call GTBank on 0700-482-6726 to check your actual balance and transaction history,"GTBank sends genuine transaction alerts from registered short codes, not links to external domains. 'gtbank-reversal-ng.com' is a credential-harvesting domain. Replying 'STOP' confirms your number is active.",This Smishing attack exploits Fear of financial loss and creates extreme Urgency (30 minutes). The reference number creates False Legitimacy. Bank debit reversal is done through your banking app or by calling your bank — never through an SMS link to an unknown domain.,Fear + Urgency + False Legitimacy
10,Banking & Finance,Defender,General Public,Smishing,2,"SMS: 'UBA: Dear customer, your internet banking access will be suspended in 2 hours due to incomplete KYC documentation required by CBN Circular 2025/013. Update at: uba-kyc-update.ng to maintain access.'",Update your KYC immediately to avoid losing internet banking access,Log into your actual UBA banking app to check if any KYC action is required,Visit the link on your laptop where it is safer to review,Log into your actual UBA banking app to check if any KYC action is required,"UBA's official domain is ubagroup.com — 'uba-kyc-update.ng' is fraudulent. Real KYC notifications from UBA appear in your official banking app with specific instructions, not via SMS links.",This Smishing attack uses regulatory language (CBN Circular) to create False Authority and Urgency. The .ng TLD gives a false sense of Nigerian legitimacy. 'Visiting on a laptop' doesn't make an attacker-controlled site safer — the credential theft happens regardless of device.,False Authority + Urgency + False Legitimacy
