text,label,attack_type,series,tier,psych_principles,source
JAMB: Your UTME result slip is available. Log in to jamb.gov.ng with your registration number 87634520CB to download. Results are free.,0,None,Government,Legit,,template_legit
"NYSC: Dear Corps Member, your CDS attendance for August has been recorded. Next meeting is 15 July 2025. Log in to portal.nysc.org.ng for your PPA details.",0,None,HardNegative_Govt,Legit,,template_legit
"Ref: SEC/2025/0084 — SMS from 'Airtel-NG-REWARD': 'You have won ₦85,000 in the Airtel Customer Loyalty Draw. Your PIN is ACTIVATED. Claim at airtel-loyalty-claim.com within 60 minutes before expiry. Reference: 14491'.",1,Smishing,Banking & Finance,Novice,Greed + Urgency + False Legitimacy,seag_augmented
IMPORTANT NOTICE: Someone posing as a on WhatsApp (Crypto trading group admin) contacts you and shares consistent screenshots of 3x returns and offers to manage your funds personally. They ask for your exchange API keys with withdrawal permissions 'so the bot can trade on your behalf automatically'.,1,Pretexting,Cryptocurrency & Investment,Defender,Social Proof + Greed + Technical Trust,seag_augmented
"NYSC: Dear Corps Member, your CDS attendance for June has been recorded. Next CDS is 3 August 2025 at your designated PPA.",0,None,Government,Legit,,template_legit
Your company's reception calls: 'There's someone here claiming to be from Cisco TAC on-site support. He says he has an appointment with the IT team for the router maintenance. He doesn't have a visitor badge but says it was arranged last-minute. Should I let him up?',1,Pretexting,Physical Security,Defender,False Vendor Authority + Unannounced Visit,seag_csv
"A call from someone claiming to be 'Officer Adaeze from NAFDAC (National Agency for Food and Drug Administration)': 'your pharmacy purchases have been linked to a drug diversion scheme. To be excluded from the criminal list, provide your NIN and bank account for clearance. This must be resolved within the hour or formal charges will be filed.'",1,Vishing,Government & Identity,Sentinel,Criminal Record Fear + Authority Impersonation,seag_csv
"Through email, someone claiming to be from a childhood school alumni committee contacts you and says is launching a reunion platform and needs your full name, date of birth, and NIN for member verification Click the link below to act now.",1,Pretexting,Corporate & Professional,Novice,Nostalgia + False Legitimacy + Pretexting,seag_augmented
"A verified-looking Twitter/X account with 50,000 followers DMs you: 'We are running a social media ambassador programme. We'll pay ₦30,000/week for posting our content. Send your bank details and a selfie with your ID to claim your slot.'",1,Pretexting,Social Media & Digital,Sentinel,Greed + Social Proof + Identity Harvest,seag_csv
"9mobile: Your monthly ₦45,000 data plan renews on Thursday 24 July. You have 45,000MB remaining. To cancel auto-renewal, dial *244*0#.",0,None,Telecom,Legit,,template_legit
"You receive an email from 'security@accessbank-alert.com' addressed to Healthcare Workers: 'Your Access Bank account has been restricted after a ₦350,000 transfer attempt to an account in Kaduna was flagged. Verify identity at accessbank-secure-ng.com within 24 hours to restore access.' Failure to comply will result in restrictions.",1,Phishing,Banking & Finance,Novice,Fear + False Legitimacy,seag_augmented
"Through LinkedIn message, someone claiming to be from a Harvard-trained business consultant contacts you and says is offering free business coaching but needs your company's financial projections and BVN for business matching",1,Pretexting,Corporate & Professional,Sentinel,Flattery + Greed + Pretexting,seag_csv
Someone posing as a on WhatsApp (Crypto trading group admin) contacts you and shares consistent screenshots of 3x returns and offers to manage your funds personally. They ask for your exchange API keys with withdrawal permissions 'so the bot can trade on your behalf automatically'. Click the link below to act now.,1,Pretexting,Cryptocurrency & Investment,Defender,Social Proof + Greed + Technical Trust,seag_augmented
"9mobile: Your monthly ₦3,500 data plan renews on 22 June 2025. You have 3,500MB remaining. To cancel auto-renewal, dial *244*0#.",0,None,Telecom,Legit,,template_legit
"You receive an email from 'security@zenithbank-alert.com' addressed to Healthcare Workers: 'Your Zenith Bank account has been restricted after a ₦1,200,000 transfer attempt to an account in Kaduna was flagged. Verify identity at zenithbank-secure-ng.com within 24 hours to restore access.' Click the link below to act now.",1,Phishing,Banking & Finance,Novice,Fear + False Legitimacy,seag_augmented
"Dear student, your course registration for 2024/2025 First Semester has been completed. Your student ID is 190401023. Portal: oau.edu.ng",0,None,Education,Legit,,template_legit
Jumia: Your order #JM-003421 has been shipped! Expected delivery: 15 July 2025. Track at jumia.com.ng/track. Questions? Call 07000-600-000.,0,None,Ecommerce,Legit,,template_legit
"9mobile: Your monthly ₦120,000 data plan renews on 15 July 2025. You have 120,000MB remaining. To cancel auto-renewal, dial *244*0#.",0,None,Telecom,Legit,,template_legit
"PiggyVest: Your savings of ₦120,000 has been locked in your Safelock. Target: 15 July 2025. Keep saving! 🐷",0,None,Banking,Legit,,template_legit
"Zenith Bank: Your scheduled standing order of ₦8,750 to Amaka Nwosu has been processed successfully. Ref: ZB0847291.",0,None,Banking,Legit,,template_legit
"Paystack: Payment of ₦8,750 received from Total Filling Station. Reference: TRF20250714881. Contact support@paystack.com if you did not initiate this.",0,None,Ecommerce,Legit,,template_legit
JAMB: Your UTME result slip is available. Log in to jamb.gov.ng with your registration number 87634520CB to download. Results are free.,0,None,Government,Legit,,template_legit
"You receive an email from 'security@gtbank-alert.com' addressed to Government Employees: 'Your GTBank account has been restricted after a ₦750,000 transfer attempt to an account in Enugu was flagged. Verify identity at gtbank-secure-ng.com within 36 hours to restore access.'",1,Phishing,Banking & Finance,Defender,Fear + False Legitimacy,seag_csv
"A call: 'Good day, I am Officer Musa from the NDLEA. a package sent to your address has tested positive for narcotics. Reply STOP to opt out or proceed now.",1,Vishing,Government & Identity,Novice,Fear + Fear of Criminal Charges + Authority Impersonation,seag_augmented
"ACCESS BANK: Your account was credited ₦15,000 on 3 August 2025. If you did not initiate this transfer, call 01-2802500 immediately. We will NEVER ask for your PIN or OTP.",0,None,HardNegative_Banking,Legit,,template_legit
"Through Instagram DM, someone claiming to be from a verified travel influencer contacts you and says is offering free all-expense-paid trips to Dubai for selected followers. You just need to provide your passport number and bank details for visa processing Failure to comply will result in restrictions.",1,Pretexting,Corporate & Professional,Sentinel,Greed + Celebrity Authority + Pretexting,seag_augmented
First Bank: Your BVN linkage has been completed successfully. No further action required. Contact 0700-34357-282 with questions.,0,None,Banking,Legit,,template_legit
ACTION REQUIRED — You encounter a laptop left open and unlocked in the conference room labelled 'BOARD STRATEGY PRESENTATION — Q4 2025 — DO NOT SHARE' in a conference room after a meeting.,1,Baiting,Corporate & Professional,Defender,Curiosity + Opportunity + Physical Access,seag_augmented
